# Simulation 58 (Up to date)
# 1880 data points written for 3 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#
# Position East of launch (m),Position North of launch (m),Lateral distance (m)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0
1.4962e-5,-1.3952e-5,2.0458e-5
1.5203e-4,-1.4177e-4,2.0788e-4
5.9566e-4,-5.5546e-4,8.1446e-4
# Event LIFTOFF occurred at t=0.04 seconds
0.0015304,-0.0014271,0.0020926
0.0031132,-0.0029031,0.0042568
0.0054345,-0.0050677,0.0074307
0.0085225,-0.0079474,0.011653
0.012382,-0.011546,0.01693
0.017016,-0.015868,0.023266
0.022429,-0.020915,0.030667
0.028623,-0.026691,0.039137
0.035598,-0.033196,0.048675
0.043354,-0.040428,0.059279
0.051888,-0.048387,0.070948
0.0612,-0.05707,0.08368
0.071287,-0.066476,0.097473
0.082148,-0.076605,0.11232
0.093783,-0.087454,0.12823
0.10619,-0.099022,0.14519
0.11936,-0.11131,0.16321
0.13331,-0.12431,0.18228
0.14803,-0.13804,0.2024
0.16352,-0.15248,0.22358
0.17977,-0.16764,0.24581
0.1968,-0.18352,0.2691
0.21461,-0.20012,0.29344
0.23318,-0.21744,0.31883
0.25252,-0.23548,0.34528
0.27264,-0.25424,0.37279
0.29353,-0.27372,0.40135
0.31519,-0.29392,0.43097
0.33763,-0.31484,0.46165
0.36084,-0.33649,0.49338
0.38482,-0.35885,0.52617
0.40957,-0.38193,0.56002
0.4351,-0.40574,0.59493
0.46141,-0.43027,0.63089
0.48848,-0.45552,0.66792
0.51634,-0.48149,0.706
0.54496,-0.50819,0.74515
0.57437,-0.53561,0.78535
0.60455,-0.56375,0.82662
0.63551,-0.59262,0.86895
0.66724,-0.62221,0.91234
0.69976,-0.65253,0.9568
0.73305,-0.68358,1.0023
# Event LAUNCHROD occurred at t=0.47 seconds
0.76712,-0.71535,1.0489
0.81977,-0.76454,1.121
0.90229,-0.84197,1.2341
1.0341,-0.96632,1.4153
1.2471,-1.1685,1.709
1.4812,-1.3922,2.0328
1.7367,-1.6369,2.3865
2.0135,-1.9024,2.7701
2.3117,-2.1881,3.1831
2.6315,-2.4933,3.6251
2.9728,-2.8171,4.0956
3.3358,-3.1584,4.5938
3.7207,-3.5157,5.1189
4.1276,-3.887,5.6697
4.5566,-4.2704,6.2449
5.0081,-4.6634,6.8432
5.4823,-5.0639,7.4631
5.9795,-5.4696,8.1037
6.4999,-5.8784,8.7638
7.0439,-6.2888,9.4427
7.6118,-6.6994,10.14
8.2041,-7.1088,10.856
8.8211,-7.5165,11.589
9.4631,-7.9227,12.342
10.13,-8.3283,13.114
10.823,-8.7346,13.908
11.542,-9.1431,14.725
12.287,-9.5557,15.565
13.057,-9.9752,16.432
13.854,-10.405,17.326
14.676,-10.846,18.249
15.524,-11.3,19.202
16.398,-11.77,20.185
17.297,-12.252,21.197
18.222,-12.746,22.237
19.173,-13.246,23.303
20.15,-13.749,24.393
21.153,-14.252,25.506
22.183,-14.754,26.641
23.24,-15.256,27.8
24.323,-15.761,28.983
25.434,-16.274,30.195
26.572,-16.799,31.437
27.736,-17.336,32.708
28.926,-17.884,34.008
30.142,-18.439,35.334
31.384,-18.997,36.685
32.652,-19.556,38.06
33.946,-20.119,39.46
35.266,-20.688,40.887
36.613,-21.27,42.343
37.986,-21.864,43.829
39.384,-22.469,45.343
40.808,-23.081,46.883
42.257,-23.697,48.448
43.732,-24.317,50.038
45.233,-24.942,51.653
46.76,-25.574,53.296
48.313,-26.218,54.968
49.891,-26.872,56.668
51.496,-27.535,58.395
53.125,-28.204,60.148
54.78,-28.878,61.926
56.46,-29.556,63.729
58.166,-30.241,65.558
59.898,-30.935,67.414
61.654,-31.639,69.298
63.434,-32.352,71.208
65.238,-33.074,73.143
67.064,-33.802,75.101
68.911,-34.534,77.08
70.779,-35.269,79.08
72.667,-36.008,81.099
74.574,-36.751,83.138
76.498,-37.499,85.195
78.44,-38.255,87.271
80.397,-39.018,89.365
82.369,-39.79,91.476
84.355,-40.568,93.603
86.356,-41.35,95.746
88.372,-42.135,97.902
90.401,-42.92,100.07
92.443,-43.704,102.25
94.499,-44.49,104.45
96.567,-45.28,106.66
98.646,-46.076,108.88
100.74,-46.879,111.11
102.83,-47.688,113.35
104.94,-48.5,115.61
107.06,-49.315,117.87
109.18,-50.131,120.14
111.3,-50.946,122.41
113.44,-51.761,124.69
115.57,-52.576,126.97
117.72,-53.39,129.26
119.86,-54.205,131.55
122.01,-55.021,133.84
124.16,-55.84,136.14
126.32,-56.663,138.44
128.47,-57.489,140.75
130.63,-58.317,143.06
132.79,-59.144,145.37
134.95,-59.97,147.67
137.11,-60.794,149.98
139.27,-61.616,152.29
141.43,-62.436,154.6
143.58,-63.255,156.9
145.74,-64.074,159.2
147.9,-64.895,161.51
150.05,-65.718,163.81
152.2,-66.543,166.11
154.34,-67.368,168.41
156.49,-68.192,170.7
158.63,-69.013,172.99
160.77,-69.831,175.28
162.9,-70.644,177.56
165.03,-71.455,179.83
167.15,-72.264,182.1
169.27,-73.073,184.37
# Event BURNOUT occurred at t=6.3412 seconds
# Event EJECTION_CHARGE occurred at t=6.3412 seconds
171.38,-73.883,186.63
173.48,-74.694,188.88
175.58,-75.504,191.13
177.67,-76.312,193.37
179.76,-77.115,195.6
181.84,-77.915,197.83
183.92,-78.71,200.05
185.98,-79.503,202.26
188.04,-80.295,204.47
190.1,-81.088,206.67
192.15,-81.881,208.87
194.19,-82.675,211.06
196.23,-83.467,213.24
198.26,-84.256,215.42
200.29,-85.042,217.6
202.31,-85.824,219.76
204.32,-86.602,221.92
206.33,-87.378,224.07
208.34,-88.153,226.22
210.33,-88.93,228.36
212.33,-89.708,230.5
214.31,-90.486,232.63
216.29,-91.263,234.76
218.27,-92.036,236.88
220.24,-92.803,238.99
222.2,-93.565,241.1
224.16,-94.324,243.2
226.12,-95.083,245.3
228.07,-95.843,247.39
230.01,-96.606,249.47
231.95,-97.37,251.56
233.88,-98.134,253.63
235.81,-98.894,255.71
237.73,-99.65,257.77
239.65,-100.4,259.83
241.56,-101.15,261.88
243.47,-101.89,263.93
245.37,-102.64,265.97
247.27,-103.39,268.01
249.16,-104.14,270.05
251.05,-104.89,272.08
252.94,-105.64,274.11
254.81,-106.38,276.13
256.69,-107.12,278.14
258.56,-107.85,280.15
260.42,-108.59,282.15
262.28,-109.32,284.15
264.14,-110.06,286.15
265.99,-110.79,288.14
267.83,-111.53,290.13
269.67,-112.26,292.11
271.51,-112.99,294.08
273.34,-113.71,296.05
275.17,-114.44,298.02
