# Simulation 61 (Up to date)
# 1846 data points written for 3 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#
# Position East of launch (m),Position North of launch (m),Lateral distance (m)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0
1.4989e-5,-1.3977e-5,2.0495e-5
1.5214e-4,-1.4187e-4,2.0803e-4
5.959e-4,-5.5569e-4,8.148e-4
# Event LIFTOFF occurred at t=0.04 seconds
0.0015308,-0.0014275,0.0020932
0.0031139,-0.0029038,0.0042577
0.0054355,-0.0050686,0.0074321
0.0085238,-0.0079486,0.011655
0.012383,-0.011548,0.016932
0.017018,-0.01587,0.023269
0.022431,-0.020918,0.030671
0.028626,-0.026694,0.039141
0.035366,-0.032979,0.048357
0.042034,-0.039197,0.057474
0.048654,-0.045371,0.066526
0.05524,-0.051512,0.075531
0.0618,-0.057629,0.0845
# Event LAUNCHROD occurred at t=0.15715 seconds
0.06834,-0.063728,0.093443
0.0788,-0.073497,0.10776
0.095997,-0.089608,0.13132
0.12517,-0.11705,0.17138
0.17653,-0.16561,0.24206
0.27067,-0.25511,0.37195
0.38622,-0.36553,0.53177
0.52259,-0.49634,0.72073
0.67984,-0.64752,0.93886
0.85802,-0.81907,1.1862
1.0572,-1.0108,1.4627
1.2775,-1.2224,1.7681
1.5189,-1.4536,2.1024
1.7817,-1.7037,2.4652
2.0658,-1.9722,2.8561
2.3714,-2.258,3.2745
2.6986,-2.5599,3.7197
3.0477,-2.8765,4.1908
3.4187,-3.2062,4.687
3.812,-3.5476,5.2074
4.2277,-3.8991,5.7512
4.6662,-4.2591,6.3177
5.1278,-4.6261,6.9062
5.6129,-4.9984,7.5159
6.1219,-5.3743,8.1461
6.6551,-5.7524,8.7966
7.213,-6.1317,9.4671
7.7961,-6.5113,10.158
8.4048,-6.8905,10.868
9.0394,-7.2695,11.6
9.7002,-7.6492,12.353
10.388,-8.0309,13.13
11.102,-8.4164,13.931
11.842,-8.8073,14.758
12.61,-9.2055,15.612
13.404,-9.6129,16.495
14.224,-10.031,17.406
15.071,-10.462,18.346
15.944,-10.905,19.317
16.843,-11.361,20.317
17.768,-11.829,21.346
18.719,-12.307,22.403
19.697,-12.794,23.488
20.702,-13.288,24.6
21.735,-13.787,25.739
22.795,-14.291,26.904
23.884,-14.798,28.097
25,-15.311,29.316
26.144,-15.832,30.564
27.316,-16.365,31.843
28.514,-16.911,33.152
29.739,-17.47,34.491
30.991,-18.041,35.86
32.27,-18.62,37.256
33.575,-19.204,38.679
34.908,-19.791,40.128
36.268,-20.385,41.604
37.655,-20.987,43.108
39.069,-21.599,44.642
40.508,-22.224,46.204
41.974,-22.858,47.794
43.466,-23.498,49.411
44.984,-24.143,51.054
46.53,-24.793,52.723
48.102,-25.449,54.42
49.701,-26.113,56.144
51.327,-26.786,57.896
52.978,-27.468,59.676
54.656,-28.158,61.483
56.359,-28.853,63.316
58.09,-29.552,65.175
59.846,-30.257,67.06
61.629,-30.97,68.973
63.437,-31.693,70.913
65.269,-32.426,72.881
67.126,-33.167,74.873
69.006,-33.913,76.889
70.908,-34.664,78.927
72.832,-35.418,80.987
74.776,-36.177,83.068
76.74,-36.943,85.169
78.721,-37.716,87.29
80.72,-38.496,89.43
82.735,-39.283,91.588
84.766,-40.073,93.761
86.811,-40.867,95.95
88.872,-41.665,98.154
90.947,-42.469,100.37
93.036,-43.279,102.61
95.14,-44.095,104.86
97.256,-44.914,107.13
99.385,-45.735,109.4
101.53,-46.559,111.69
103.68,-47.383,113.99
105.84,-48.21,116.3
108.01,-49.04,118.62
110.18,-49.873,120.95
112.37,-50.712,123.28
114.56,-51.556,125.62
116.75,-52.401,127.97
118.95,-53.246,130.33
121.16,-54.091,132.68
123.37,-54.935,135.05
125.58,-55.779,137.41
127.79,-56.623,139.78
130.01,-57.469,142.15
132.23,-58.316,144.52
134.45,-59.165,146.89
136.67,-60.015,149.27
138.9,-60.865,151.65
141.12,-61.716,154.02
143.34,-62.567,156.4
